/home/ec2-user/data/classinfo/B/B21C.txt.fq.tfidfn 0





/home/ec2-user/data/classinfo/B/B21G.txt.fq.tfidfn 576
車軸 0.0127250608133 0.121169156464
席 0.00769816515239 0.0517290128753
スプール 0.0284998895943 0.158714942233
棚 0.00604190380629 0.163704557955
ロッド 0.0600822921097 0.0887097715573
乗降 0.00324569165798 0.0457717893084
倉庫 0.0121065861257 0.0133364581248
小松フォークリフト 0.00101535063551 0.00101535063551
リガ 4.92840077531e-05 0.0140563918344
作動 0.0718856549009 0.152881490911
ロアフック 0.000674926020406 0.000869764365169
荷受け 0.0034210824901 0.0046176857529
ピッカ 0.0012346536706 0.00204009468418
コンテナ 0.000490960600819 0.0784698417913
後進 0.00969487642241 0.0252505371416
Ｉaim 0.000496170652757 0.000575642559733
支持 0.0025587428823 0.169990111571
レール 0.011375048082 0.190931049694
駆動 0.029740572127 0.114364434606
格納 0.00871554757853 0.0585225161944
荷 0.0378200748717 0.0641839536125
リフター 0.00415606774261 0.0152885332211
フロントプロテクタ 0.000594965669644 0.000629869599055
アクスル 0.00702646638141 0.00754733749412
回生 0.00879901100481 0.0615814191699
ウインチ 0.0107917941563 0.140985697421





/home/ec2-user/data/classinfo/B/B1D.txt.fq.tfidfn 116
排ガス 0.00623739000337 0.113657167072
触媒 0.0665520593415 0.400968826255
脱硝 0.000619332462728 0.0173179344865
原水 0.00390412216499 0.0263113309584
浄化 0.0259363884468 0.0757875611593
脱臭 0.00952765901528 0.112165736899
脱硫 0.00245022875132 0.108367730212
ＮＯｘ 0.0165488242232 0.0360296639112
汚泥 0.00799471253501 0.074536963616
濾過 0.0533888281954 0.201380049292
塔 0.0220135016184 0.270688616639
ろ過 0.014718893388 0.0372523720354
濃縮 0.00428337792006 0.221688577128
濾 0.0228700804734 0.046293155547
活性炭 0.00975338585509 0.0915891321392
透析 0.00502968636652 0.0457185189232
浴槽 0.0763940531404 0.155322545897
ゼオライト 0.0110451723657 0.0440893550896
吸着 0.0301424851423 0.180065933808
オゾン 0.030875343017 0.113610754284
浄水 0.00761821518135 0.0345856047099
メタルハニカム 9.29087753428e-05 0.00281440497823
パティキュレート 0.00750629400812 0.0127578465178
槽 0.0224524884305 0.170512682728
膜 0.0377010795754 0.213060634401
パティキュレートフィルタ 0.00456340883211 0.00649896784081
凝集 0.00168280032831 0.0362073637369
ハニカム 0.00747163573632 0.0374103598326
SB 0.00669215661878 0.42247719366
フィルタ 0.0444863330014 0.134204761368
ガス 0.104875024112 0.213768459479
ダイオキシン 0.00617598069909 0.115553193415
排気 0.08112795835 0.224220353854
原液 0.00562903455696 0.0666174344388
フィルター 0.021566023722 0.3014962473
臭気 0.00517715467821 0.128357826804
蒸留 0.0348977248069 0.309550604563
脱水 0.0440920383119 0.113858752999
廃水 0.00646274810179 0.0234629099489
廃液 0.00128800261366 0.182007255065
沈殿 0.00335524997443 0.0201975217665
イオン 0.0248689648629 0.144737367665
洗浄 0.0695995116729 0.486796545755
造水 0.000447125938436 0.0299618052615
厨芥 0.0124500724271 0.0427539823312
燃焼 0.0366782743596 0.210866671768
還元 0.00304868708835 0.150586443566
殺菌 0.016221507864 0.114572364595
汚水 0.00416098682603 0.0741965365954
ＺＳＭ 0.00102278089303 0.00448710744218
酸化 0.024920019416 0.125025219227
微生物 0.0137315488859 0.1168114736
限外 0.000804031276074 0.0180319936741
糸 0.0497934675825 0.389666106479
多孔 0.0103544177635 0.18654811145
排水 0.055551846822 0.20250701487
モジュール 0.0100358603467 0.0615370282697
血液 0.00644147105222 0.0828672387431
バグ 0.00289139065137 0.0149352894169
濁 0.00081846440159 0.0539748848694
アンモニア 0.000776890960503 0.634723871713
担 0.0557489849331 0.091706422253
塵 0.00982454126671 0.12419252878
ZAB 0.0076301850331 0.0265179122336
水素 0.0284703743889 0.144309215216
酸素 0.0222412237837 0.134567351838
溶液 0.00732836765874 0.164824631598
貴金属 0.00583181383541 0.039882089552
精製 0.00482772316024 0.10192980144
濃度 0.00386934353154 0.0682254972797
フロック 0.00102480246296 0.0122621656516
内燃 0.0121947449829 0.0530990910213
凝縮 0.000370917761726 0.113257399515
浄化槽 0.000646689719041 0.0166574151129
ＨＣ 0.0120242808733 0.0643354249535
清浄 0.0123411556862 0.287195908959
窒素 0.0330288105318 0.263949956622
ケーキ 0.00153331191657 0.0360534146905
ラリー 0.00672469018133 0.0580010085836
白血球 0.000894415903688 0.00828302765194
ＥＧＲ 0.0215941166975 0.0317158593809
水溶液 0.000527262938082 0.096795298834
沈澱 0.00148603643398 0.0148472414702
エレメント 0.00810353245326 0.0368149409564
洗浄液 0.00980689983532 0.114231466982
プリーツ 0.00122949084702 0.224529321909
焼却炉 0.000620376064377 0.105721701885
ｐＨ 0.000380073855003 0.0510555223132
集塵機 0.00241403129129 0.0140640355405
煙 0.00417503723412 0.119278915398
悪臭 0.00134326429805 0.0234077984276
剤 0.0618687075659 0.231891736791
スラッジ 0.001341701215 0.0442629273426
発酵 0.0219707551601 0.222050497075
硝酸 0.00376993722867 0.131837678563
塩素 0.0116758030009 0.084370630289
浴用 0.00211980219552 0.00946321459614
燃料 0.0422037204609 0.277662981856
血漿 6.58865247031e-05 0.0163285486559
消石灰 0.00239621069887 0.399960664098





/home/ec2-user/data/classinfo/B/B31F.txt.fq.tfidfn 517
段ボール 0.0249033751136 0.161240531605
シングルフェーサ 0.00491575502212 0.0142522818203
コルゲーターベルト 0.0018186746324 0.00551711574251
原紙 0.0170943573901 0.0569463712739
罫線 0.00936135443018 0.0331586666935
ボールウエブ 0.00138590343536 0.00369707378588
糊 0.00419607009311 0.148240514024
糊付け 0.00126598407097 0.0383438504303
ヒーティングパート 0.000773743122079 0.00225016456514
コルゲータ 0.00177173194839 0.00466363666666
罫 0.0111786498271 0.0510011279505
ライナウエブ 0.000670436330991 0.00194641965934
クーリングパート 0.000683009712874 0.0019924859348
ロールスキマ 0.000507041641718 0.00148394173716
フォールディングバー 0.000564862845859 0.00131967828192
スリッタスコアラ 0.00100240952241 0.00172319201923
ロール 0.0503675081591 0.206778185269
ヒーティングボックス 0.000519333757089 0.00147637763857
イナ 0.0231703590781 0.0674534826006
紙 0.0513266091237 0.198307157879
ボールシー 0.00118320100833 0.00270691446609
ライナー 0.00836786187799 0.0350536271638
ダブルフェーサー 0.000641583188983 0.00188655671189
折り目 0.00485321048887 0.0296754417444
フルート 0.000146609375574 0.0126596898647
澱粉 0.0089824980016 0.0896446601182
板紙 0.0025430318977 0.0542279791139
グルーマシン 0.000535861356605 0.00153622936868
ルフェーサ 0.000415584365815 0.00119927110646
コルゲータユニット 0.000248813873882 0.000725178181567
片面 0.0150752878801 0.061428564885
コルゲーター 0.000544037170252 0.00178442911213
スプライサ 0.000600951963044 0.00182550678979
しん 0.00212739262879 0.00710663040317
ウエブ 0.0360699893216 0.0454090005596
ダブルフエーサ 0.000207869818686 0.000605845063081
フェーサ 0.000429213686754 0.00124952509849
ニップ 0.0117411278991 0.0588001930313
ダイボード 0.000198598802843 0.000933540878433
ダブルフェー 0.000297346520938 0.000862450794283
ボールウェブ 0.000118625019766 0.000710826079898
スリッタナイフ 0.000800693435086 0.00159464807214
芯 0.0420265171456 0.12401831212
ルシート 0.0018710569619 0.00534004805863
帆布 0.00283753113653 0.0502256596109
ングルフェーサ 0.000256194709788 0.000742961861374
用紙 0.0279191963958 0.121421458576
シングルフェー 0.0002683990243 0.00083483969637
シングルフェーサー 0.000285198959945 0.000875922925885
写経 0.000320995098196 0.000935826943609
波形 0.00668073490362 0.195213006454
古紙 0.175231887708 0.296181531242
ダンボール 0.000772226467497 0.00793138219989
ウェブ 0.0141782090378 0.0451001528789
サクションブロア 0.000310995515335 0.000847277036587
折目 0.00660401131951 0.0245798371821
故紙 0.0461322371846 0.0701327387302
ヒーティングプレート 0.000247035941784 0.000690945155135
レンゴー 0.00097397333691 0.00245212713582
経糸 0.0452549367808 0.167346802288
シート 0.0269093851968 0.19369800229
フォルダグルア 0.000296361020496 0.00125804581026
グルフェーサ 0.00020747080983 0.000594841927391
スリッタ 0.0019747992699 0.0101282993894
貼 0.0353527983848 0.0505286770834
ブルフェーサ 0.000189174986577 0.000541695150895
プレスロールスキマ 0.000153407987257 0.000448903885101
目付け 0.00105470381619 0.0109466043188
プレヒートロール 0.00026244110678 0.000760930219416
段 0.0131460233868 0.134128853619
スタッカ 0.000311688267559 0.0105166568078
スキマ 0.00101654761667 0.00339421504949
耐水 0.00361117515724 0.0230677037273
ベルト 0.00912897050979 0.198218378735
コルゲーターマシン 0.000165806258922 0.000543828559229
ドクタロール 0.000249652183919 0.000761877182005
報徳 0.00025580484542 0.00058321491591
反り 0.00895813224114 0.034068350567
ボス 0.00569209105198 0.063609620268
エンボスシーム 9.18937325565e-05 0.000374711185762
ドクターロールスキマ 0.000121710145943 0.000356990189472
アプリケータロール 0.000653443112685 0.00168634165053
コルゲートマシ 0.000144909501489 0.000495365764456
糸崎 0.000943048464105 0.00371019376904
紙幅 0.000945305110266 0.00592847402261
下段 0.0264850320864 0.030472161006
襞 0.00565366530701 0.126949399656
防湿 0.00101328259418 0.0168840674376
受像 0.00609286453662 0.0525629624316
イソワ 0.00020681849211 0.00046058700191
ラミネートライナー 0.000107679960182 0.000311650878996
漉き 0.00142994759521 0.0180592750559
クレープ 0.00917273883258 0.012230881217
シングルフ 0.000279826932115 0.000813525082514
硼砂 0.000459769507568 0.0027280996152
紙質 0.00257770519543 0.00409218101382
刃 0.0208063167599 0.226757901886
ドクター 0.0106947517152 0.0838900395865
銜え 0.000495837204471 0.00120974503787
インターフォルダ 0.00152128516973 0.00242187944592





/home/ec2-user/data/classinfo/B/B60J.txt.fq.tfidfn 179
ドア 0.176787381876 0.176787381876
ルーフ 0.0471336401443 0.0471336401443
サンバ 0.019812099228 0.019812099228
サッシュ 0.0155080613782 0.0155080613782
ウインド 0.0568615074646 0.0568615074646
ウエザストリップ 0.00593175541833 0.00656001589728
幌 0.0165718170897 0.0713873641929
ウェザーストリップ 0.00611077098767 0.00638860372673
車体 0.0494693530811 0.123532464606
